"week","meantemp","sdtemp_ts","meanprec_ts","sdprec_ts"
2471,17.8,0.00001,0,0.00001
2472,17.8,0.00001,0,0.00001
2473,17.8,0.00001,0,0.00001
2474,17.8,0.00001,0,0.00001
2475,17.8,0.00001,0,0.00001
2476,15.98,0.00001,0,0.00001
2477,15.98,0.00001,0,0.00001
2478,15.98,0.00001,0,0.00001
2479,15.98,0.00001,0,0.00001
2480,13.16,0.00001,0,0.00001
2481,13.16,0.00001,0,0.00001
2482,13.16,0.00001,0,0.00001
2483,13.16,0.00001,0,0.00001
2484,7.15,0.00001,0,0.00001
2485,7.15,0.00001,0,0.00001
2486,7.15,0.00001,0,0.00001
2487,7.15,0.00001,0,0.00001
2488,7.15,0.00001,0,0.00001
2489,5.49,0.00001,0,0.00001
2490,5.49,0.00001,0,0.00001
2491,5.49,0.00001,0,0.00001
2492,5.49,0.00001,0,0.00001
2493,1.53,0.00001,0,0.00001
2494,1.53,0.00001,0,0.00001
2495,1.53,0.00001,0,0.00001
2496,1.53,0.00001,0,0.00001
2497,2.23,0.00001,0,0.00001
2498,2.23,0.00001,0,0.00001
2499,2.23,0.00001,0,0.00001
2500,2.23,0.00001,0,0.00001
2501,2.23,0.00001,0,0.00001
2502,-0.72,0.00001,0,0.00001
2503,-0.72,0.00001,0,0.00001
2504,-0.72,0.00001,0,0.00001
2505,-0.72,0.00001,0,0.00001
2506,2.25,0.00001,0,0.00001
2507,2.25,0.00001,0,0.00001
2508,2.25,0.00001,0,0.00001
2509,2.25,0.00001,0,0.00001
2510,7.45,0.00001,0,0.00001
2511,7.45,0.00001,0,0.00001
2512,7.45,0.00001,0,0.00001
2513,7.45,0.00001,0,0.00001
2514,7.45,0.00001,0,0.00001
2515,11.93,0.00001,0,0.00001
2516,11.93,0.00001,0,0.00001
2517,11.93,0.00001,0,0.00001
2518,11.93,0.00001,0,0.00001
2519,15.78,0.00001,0,0.00001
2520,15.78,0.00001,0,0.00001
2521,15.78,0.00001,0,0.00001
2522,15.78,0.00001,0,0.00001
2523,15.04,0.00001,0,0.00001
2524,15.04,0.00001,0,0.00001
2525,15.04,0.00001,0,0.00001
2526,15.04,0.00001,0,0.00001
2527,15.04,0.00001,0,0.00001
2528,14.37,0.00001,0,0.00001
2529,14.37,0.00001,0,0.00001
2530,14.37,0.00001,0,0.00001
2531,14.37,0.00001,0,0.00001
2532,12.28,0.00001,0,0.00001
2533,12.28,0.00001,0,0.00001
2534,12.28,0.00001,0,0.00001
2535,12.28,0.00001,0,0.00001
2536,8.18,0.00001,0,0.00001
2537,8.18,0.00001,0,0.00001
2538,8.18,0.00001,0,0.00001
2539,8.18,0.00001,0,0.00001
2540,8.18,0.00001,0,0.00001
2541,1.32,0.00001,0,0.00001
2542,1.32,0.00001,0,0.00001
2543,1.32,0.00001,0,0.00001
2544,1.32,0.00001,0,0.00001
2545,3.46,0.00001,0,0.00001
2546,3.46,0.00001,0,0.00001
2547,3.46,0.00001,0,0.00001
2548,3.46,0.00001,0,0.00001
2549,-1.92,0.00001,0,0.00001
2550,-1.92,0.00001,0,0.00001
2551,-1.92,0.00001,0,0.00001
2552,-1.92,0.00001,0,0.00001
2553,-1.92,0.00001,0,0.00001
2554,3.89,0.00001,0,0.00001
2555,3.89,0.00001,0,0.00001
2556,3.89,0.00001,0,0.00001
2557,3.89,0.00001,0,0.00001
2558,4.16,0.00001,0,0.00001
2559,4.16,0.00001,0,0.00001
2560,4.16,0.00001,0,0.00001
2561,4.16,0.00001,0,0.00001
2562,9.29,0.00001,0,0.00001
2563,9.29,0.00001,0,0.00001
2564,9.29,0.00001,0,0.00001
2565,9.29,0.00001,0,0.00001
2566,9.29,0.00001,0,0.00001
2567,13.31,0.00001,0,0.00001
2568,13.31,0.00001,0,0.00001
2569,13.31,0.00001,0,0.00001
2570,13.31,0.00001,0,0.00001
2571,16.8,0.00001,0,0.00001
2572,16.8,0.00001,0,0.00001
2573,16.8,0.00001,0,0.00001
2574,16.8,0.00001,0,0.00001
2575,15.55,0.00001,0,0.00001
2576,15.55,0.00001,0,0.00001
2577,15.55,0.00001,0,0.00001
2578,15.55,0.00001,0,0.00001
2579,15.55,0.00001,0,0.00001
2580,15.69,0.00001,0,0.00001
2581,15.69,0.00001,0,0.00001
2582,15.69,0.00001,0,0.00001
2583,15.69,0.00001,0,0.00001
2584,12.79,0.00001,0,0.00001
2585,12.79,0.00001,0,0.00001
2586,12.79,0.00001,0,0.00001
2587,12.79,0.00001,0,0.00001
2588,11.62,0.00001,0,0.00001
2589,11.62,0.00001,0,0.00001
2590,11.62,0.00001,0,0.00001
2591,11.62,0.00001,0,0.00001
2592,11.62,0.00001,0,0.00001
2593,2.66,0.00001,0,0.00001
2594,2.66,0.00001,0,0.00001
2595,2.66,0.00001,0,0.00001
2596,2.66,0.00001,0,0.00001
2597,2.8,0.00001,0,0.00001
2598,2.8,0.00001,0,0.00001
2599,2.8,0.00001,0,0.00001
2600,2.8,0.00001,0,0.00001
2601,2.31,0.00001,0,0.00001
2602,2.31,0.00001,0,0.00001
2603,2.31,0.00001,0,0.00001
2604,2.31,0.00001,0,0.00001
2605,2.31,0.00001,0,0.00001
2606,3.84,0.00001,0,0.00001
2607,3.84,0.00001,0,0.00001
2608,3.84,0.00001,0,0.00001
2609,3.84,0.00001,0,0.00001
2610,6.09,0.00001,0,0.00001
2611,6.09,0.00001,0,0.00001
2612,6.09,0.00001,0,0.00001
2613,6.09,0.00001,0,0.00001
2614,6.9,0.00001,0,0.00001
2615,6.9,0.00001,0,0.00001
2616,6.9,0.00001,0,0.00001
2617,6.9,0.00001,0,0.00001
2618,6.9,0.00001,0,0.00001
2619,12.74,0.00001,0,0.00001
2620,12.74,0.00001,0,0.00001
2621,12.74,0.00001,0,0.00001
2622,12.74,0.00001,0,0.00001
2623,14.97,0.00001,0,0.00001
2624,14.97,0.00001,0,0.00001
2625,14.97,0.00001,0,0.00001
2626,14.97,0.00001,0,0.00001
2627,18.41,0.00001,0,0.00001
2628,18.41,0.00001,0,0.00001
2629,18.41,0.00001,0,0.00001
2630,18.41,0.00001,0,0.00001
2631,18.41,0.00001,0,0.00001
2632,16.29,0.00001,0,0.00001
2633,16.29,0.00001,0,0.00001
2634,16.29,0.00001,0,0.00001
2635,16.29,0.00001,0,0.00001
2636,13.91,0.00001,0,0.00001
2637,13.91,0.00001,0,0.00001
2638,13.91,0.00001,0,0.00001
2639,13.91,0.00001,0,0.00001
2640,11.71,0.00001,0,0.00001
2641,11.71,0.00001,0,0.00001
2642,11.71,0.00001,0,0.00001
2643,11.71,0.00001,0,0.00001
2644,11.71,0.00001,0,0.00001
2645,4.13,0.00001,0,0.00001
2646,4.13,0.00001,0,0.00001
2647,4.13,0.00001,0,0.00001
2648,4.13,0.00001,0,0.00001
2649,0.95,0.00001,0,0.00001
2650,0.95,0.00001,0,0.00001
2651,0.95,0.00001,0,0.00001
2652,0.95,0.00001,0,0.00001
2653,-0.62,0.00001,0,0.00001
2654,-0.62,0.00001,0,0.00001
2655,-0.62,0.00001,0,0.00001
2656,-0.62,0.00001,0,0.00001
2657,-0.62,0.00001,0,0.00001
2658,0.94,0.00001,0,0.00001
2659,0.94,0.00001,0,0.00001
2660,0.94,0.00001,0,0.00001
2661,0.94,0.00001,0,0.00001
2662,5.13,0.00001,0,0.00001
2663,5.13,0.00001,0,0.00001
2664,5.13,0.00001,0,0.00001
2665,5.13,0.00001,0,0.00001
2666,9.86,0.00001,0,0.00001
2667,9.86,0.00001,0,0.00001
2668,9.86,0.00001,0,0.00001
2669,9.86,0.00001,0,0.00001
2670,9.86,0.00001,0,0.00001
2671,11.46,0.00001,0,0.00001
2672,11.46,0.00001,0,0.00001
2673,11.46,0.00001,0,0.00001
2674,11.46,0.00001,0,0.00001
2675,16.3,0.00001,0,0.00001
2676,16.3,0.00001,0,0.00001
2677,16.3,0.00001,0,0.00001
2678,16.3,0.00001,0,0.00001
2679,16.44,0.00001,0,0.00001
2680,16.44,0.00001,0,0.00001
2681,16.44,0.00001,0,0.00001
2682,16.44,0.00001,0,0.00001
2683,16.44,0.00001,0,0.00001
2684,16.86,0.00001,0,0.00001
2685,16.86,0.00001,0,0.00001
2686,16.86,0.00001,0,0.00001
2687,16.86,0.00001,0,0.00001
2688,13.89,0.00001,0,0.00001
2689,13.89,0.00001,0,0.00001
2690,13.89,0.00001,0,0.00001
2691,13.89,0.00001,0,0.00001
2692,11,0.00001,0,0.00001
2693,11,0.00001,0,0.00001
2694,11,0.00001,0,0.00001
2695,11,0.00001,0,0.00001
2696,11,0.00001,0,0.00001
2697,4.19,0.00001,0,0.00001
2698,4.19,0.00001,0,0.00001
2699,4.19,0.00001,0,0.00001
2700,4.19,0.00001,0,0.00001
2701,-1.48,0.00001,0,0.00001
2702,-1.48,0.00001,0,0.00001
2703,-1.48,0.00001,0,0.00001
2704,-1.48,0.00001,0,0.00001
2705,2.39,0.00001,0,0.00001
2706,2.39,0.00001,0,0.00001
2707,2.39,0.00001,0,0.00001
2708,2.39,0.00001,0,0.00001
2709,2.39,0.00001,0,0.00001
2710,-1.52,0.00001,0,0.00001
2711,-1.52,0.00001,0,0.00001
2712,-1.52,0.00001,0,0.00001
2713,-1.52,0.00001,0,0.00001
2714,0.53,0.00001,0,0.00001
2715,0.53,0.00001,0,0.00001
2716,0.53,0.00001,0,0.00001
2717,0.53,0.00001,0,0.00001
2718,7.75,0.00001,0,0.00001
2719,7.75,0.00001,0,0.00001
2720,7.75,0.00001,0,0.00001
2721,7.75,0.00001,0,0.00001
2722,7.75,0.00001,0,0.00001
2723,13.55,0.00001,0,0.00001
2724,13.55,0.00001,0,0.00001
2725,13.55,0.00001,0,0.00001
2726,13.55,0.00001,0,0.00001
2727,15.45,0.00001,0,0.00001
2728,15.45,0.00001,0,0.00001
2729,15.45,0.00001,0,0.00001
2730,15.45,0.00001,0,0.00001
2731,19.04,0.00001,0,0.00001
2732,19.04,0.00001,0,0.00001
2733,19.04,0.00001,0,0.00001
2734,19.04,0.00001,0,0.00001
2735,19.04,0.00001,0,0.00001
2736,17.05,0.00001,0,0.00001
2737,17.05,0.00001,0,0.00001
2738,17.05,0.00001,0,0.00001
2739,17.05,0.00001,0,0.00001
2740,13.37,0.00001,0,0.00001
2741,13.37,0.00001,0,0.00001
2742,13.37,0.00001,0,0.00001
2743,13.37,0.00001,0,0.00001
2744,10.75,0.00001,0,0.00001
2745,10.75,0.00001,0,0.00001
2746,10.75,0.00001,0,0.00001
2747,10.75,0.00001,0,0.00001
2748,10.75,0.00001,0,0.00001
2749,5.65,0.00001,0,0.00001
2750,5.65,0.00001,0,0.00001
2751,5.65,0.00001,0,0.00001
2752,5.65,0.00001,0,0.00001
2753,-4.25,0.00001,0,0.00001
2754,-4.25,0.00001,0,0.00001
2755,-4.25,0.00001,0,0.00001
2756,-4.25,0.00001,0,0.00001
2757,-1.95,0.00001,0,0.00001
2758,-1.95,0.00001,0,0.00001
2759,-1.95,0.00001,0,0.00001
2760,-1.95,0.00001,0,0.00001
2761,-1.95,0.00001,0,0.00001
2762,-0.57,0.00001,0,0.00001
2763,-0.57,0.00001,0,0.00001
2764,-0.57,0.00001,0,0.00001
2765,-0.57,0.00001,0,0.00001
2766,1.98,0.00001,0,0.00001
2767,1.98,0.00001,0,0.00001
2768,1.98,0.00001,0,0.00001
2769,1.98,0.00001,0,0.00001
2770,6.04,0.00001,0,0.00001
2771,6.04,0.00001,0,0.00001
2772,6.04,0.00001,0,0.00001
2773,6.04,0.00001,0,0.00001
2774,6.04,0.00001,0,0.00001
2775,12.49,0.00001,0,0.00001
2776,12.49,0.00001,0,0.00001
2777,12.49,0.00001,0,0.00001
2778,12.49,0.00001,0,0.00001
2779,17.65,0.00001,0,0.00001
2780,17.65,0.00001,0,0.00001
2781,17.65,0.00001,0,0.00001
2782,17.65,0.00001,0,0.00001
2783,16.24,0.00001,0,0.00001
2784,16.24,0.00001,0,0.00001
2785,16.24,0.00001,0,0.00001
2786,16.24,0.00001,0,0.00001
2787,16.24,0.00001,0,0.00001
2788,16.96,0.00001,0,0.00001
2789,16.96,0.00001,0,0.00001
2790,16.96,0.00001,0,0.00001
2791,16.96,0.00001,0,0.00001
2792,13.45,0.00001,0,0.00001
2793,13.45,0.00001,0,0.00001
2794,13.45,0.00001,0,0.00001
2795,13.45,0.00001,0,0.00001
2796,9.6,0.00001,0,0.00001
2797,9.6,0.00001,0,0.00001
2798,9.6,0.00001,0,0.00001
2799,9.6,0.00001,0,0.00001
2800,9.6,0.00001,0,0.00001
2801,6.66,0.00001,0,0.00001
2802,6.66,0.00001,0,0.00001
2803,6.66,0.00001,0,0.00001
2804,6.66,0.00001,0,0.00001
2805,1.47,0.00001,0,0.00001
2806,1.47,0.00001,0,0.00001
2807,1.47,0.00001,0,0.00001
2808,1.47,0.00001,0,0.00001
2809,0.27,0.00001,0,0.00001
2810,0.27,0.00001,0,0.00001
2811,0.27,0.00001,0,0.00001
2812,0.27,0.00001,0,0.00001
2813,0.27,0.00001,0,0.00001
2814,2.47,0.00001,0,0.00001
2815,2.47,0.00001,0,0.00001
2816,2.47,0.00001,0,0.00001
2817,2.47,0.00001,0,0.00001
2818,1.84,0.00001,0,0.00001
2819,1.84,0.00001,0,0.00001
2820,1.84,0.00001,0,0.00001
2821,1.84,0.00001,0,0.00001
2822,8.91,0.00001,0,0.00001
2823,8.91,0.00001,0,0.00001
2824,8.91,0.00001,0,0.00001
2825,8.91,0.00001,0,0.00001
2826,8.91,0.00001,0,0.00001
2827,14.78,0.00001,0,0.00001
2828,14.78,0.00001,0,0.00001
2829,14.78,0.00001,0,0.00001
2830,14.78,0.00001,0,0.00001
2831,14.43,0.00001,0,0.00001
2832,14.43,0.00001,0,0.00001
2833,14.43,0.00001,0,0.00001
2834,14.43,0.00001,0,0.00001
2835,18.01,0.00001,0,0.00001
2836,18.01,0.00001,0,0.00001
2837,18.01,0.00001,0,0.00001
2838,18.01,0.00001,0,0.00001
2839,18.01,0.00001,0,0.00001
2840,18.16,0.00001,0,0.00001
2841,18.16,0.00001,0,0.00001
2842,18.16,0.00001,0,0.00001
2843,18.16,0.00001,0,0.00001
2844,12.18,0.00001,0,0.00001
2845,12.18,0.00001,0,0.00001
2846,12.18,0.00001,0,0.00001
2847,12.18,0.00001,0,0.00001
2848,9.24,0.00001,0,0.00001
2849,9.24,0.00001,0,0.00001
2850,9.24,0.00001,0,0.00001
2851,9.24,0.00001,0,0.00001
2852,9.24,0.00001,0,0.00001
2853,4.25,0.00001,0,0.00001
2854,4.25,0.00001,0,0.00001
2855,4.25,0.00001,0,0.00001
2856,4.25,0.00001,0,0.00001
2857,4.46,0.00001,0,0.00001
2858,4.46,0.00001,0,0.00001
2859,4.46,0.00001,0,0.00001
2860,4.46,0.00001,0,0.00001
2861,-1.66,0.00001,0,0.00001
2862,-1.66,0.00001,0,0.00001
2863,-1.66,0.00001,0,0.00001
2864,-1.66,0.00001,0,0.00001
2865,-1.66,0.00001,0,0.00001
2866,3.37,0.00001,0,0.00001
2867,3.37,0.00001,0,0.00001
2868,3.37,0.00001,0,0.00001
2869,3.37,0.00001,0,0.00001
