"species","kernel","emass","elong_mean","elong_sd","floron_mean","floron_sd","floroff_mean","floroff_sd","seedon_mean","seedon_sd","seedoff_mean","seedoff_sd","span_mean","span_sd","b0grow_mean","b0grow_sd","b0m_mean","b0m_sd","b0germ_mean","b0germ_sd","maxseedn_mean","maxseedn_sd","maxmass"
"Galium_aparine","wa",0.001,15,0.5,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,63,2.1,5250000000,175000000,1650000000,55000000,1650000000,55000000,2,0.0666666666666667,5
"Galium_mollugo","wa",0.001,8,0.266666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1222,40.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Galium_pumilum","w",0.001,6,0.2,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Galium_verum","w",0.001,17,0.566666666666667,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1222,40.7333333333333,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,2,0.0666666666666667,5
"Genista_tinctoria","w",0.001,19,0.633333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,403,13.4333333333333,5
"Gentianella_ciliata","wa",0.0003,4,0.133333333333333,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,590,19.6666666666667,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,670,22.3333333333334,2
"Gentianella_germanica","wa",0.0003,12,0.4,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,87,2.9,5250000000,175000000,1650000000,55000000,1650000000,55000000,99,3.3,2
"Geranium_dissectum","w",0.001,9,0.3,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,78,2.6,5250000000,175000000,1650000000,55000000,1650000000,55000000,5,0.166666666666667,5
"Geranium_molle","w",0.001,7,0.233333333333334,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,78,2.6,5250000000,175000000,1650000000,55000000,1650000000,55000000,4,0.133333333333333,5
"Geranium_pratense","w",0.001,9,0.3,12,0.4,24,0.8,25,0.833333333333334,37,1.23333333333333,1560,52,3500000000,116666666.666667,1650000000,55000000,1650000000,55000000,3,0.1,5
