week	id	location	sp	biomass	fgroup	stage	age	reped	chrm1	chrm2	radius
32	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.802)	p1	a	0	false	A	A	2
32	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.7791)	p1	a	0	false	A	A	2
32	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0703574)	p1	j	0	false	A	A	0
32	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0703564)	p1	j	0	false	A	A	0
32	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0703567)	p1	j	0	false	A	A	0
33	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.8137)	p1	a	0	false	A	A	2
33	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.7909)	p1	a	0	false	A	A	2
33	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0704092)	p1	j	0	false	A	A	0
33	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0704065)	p1	j	0	false	A	A	0
33	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0704076)	p1	j	0	false	A	A	0
34	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.8254)	p1	a	0	false	A	A	2
34	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.8027)	p1	a	0	false	A	A	2
34	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0704611)	p1	j	0	false	A	A	0
34	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0704561)	p1	j	0	false	A	A	0
34	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0704582)	p1	j	0	false	A	A	0
35	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.8373)	p1	a	0	false	A	A	2
35	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.8147)	p1	a	0	false	A	A	2
35	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0705119)	p1	j	0	false	A	A	0
35	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0705067)	p1	j	0	false	A	A	0
35	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0705095)	p1	j	0	false	A	A	0
36	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.8492)	p1	a	0	false	A	A	2
36	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.8265)	p1	a	0	false	A	A	2
36	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0705637)	p1	j	0	false	A	A	0
36	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0705587)	p1	j	0	false	A	A	0
36	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0705603)	p1	j	0	false	A	A	0
37	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.8608)	p1	a	0	false	A	A	2
37	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.8382)	p1	a	0	false	A	A	2
37	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0706156)	p1	j	0	false	A	A	0
37	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0706096)	p1	j	0	false	A	A	0
37	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0706121)	p1	j	0	false	A	A	0
38	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.8727)	p1	a	0	false	A	A	2
38	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.8501)	p1	a	0	false	A	A	2
38	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.070667)	p1	j	0	false	A	A	0
38	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.07066)	p1	j	0	false	A	A	0
38	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0706639)	p1	j	0	false	A	A	0
39	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.8844)	p1	a	0	false	A	A	2
39	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.8619)	p1	a	0	false	A	A	2
39	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0707177)	p1	j	0	false	A	A	0
39	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0707119)	p1	j	0	false	A	A	0
39	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0707155)	p1	j	0	false	A	A	0
40	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.8961)	p1	a	0	false	A	A	2
40	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.8737)	p1	a	0	false	A	A	2
40	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0707693)	p1	j	0	false	A	A	0
40	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0707629)	p1	j	0	false	A	A	0
40	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0707673)	p1	j	0	false	A	A	0
41	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.9077)	p1	a	0	false	A	A	2
41	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.8854)	p1	a	0	false	A	A	2
41	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0708205)	p1	j	0	false	A	A	0
41	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0708139)	p1	j	0	false	A	A	0
41	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0708177)	p1	j	0	false	A	A	0
42	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.9193)	p1	a	0	false	A	A	2
42	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.8972)	p1	a	0	false	A	A	2
42	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0708723)	p1	j	0	false	A	A	0
42	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0708656)	p1	j	0	false	A	A	0
42	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0708683)	p1	j	0	false	A	A	0
43	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.9313)	p1	a	0	false	A	A	2
43	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.9091)	p1	a	0	false	A	A	2
43	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0709235)	p1	j	0	false	A	A	0
43	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0709174)	p1	j	0	false	A	A	0
43	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0709206)	p1	j	0	false	A	A	0
44	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.9429)	p1	a	0	false	A	A	2
44	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.9211)	p1	a	0	false	A	A	2
44	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.070975)	p1	j	0	false	A	A	0
44	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.070968)	p1	j	0	false	A	A	0
44	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0709717)	p1	j	0	false	A	A	0
45	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.9548)	p1	a	0	false	A	A	2
45	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.9331)	p1	a	0	false	A	A	2
45	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.0710257)	p1	j	0	false	A	A	0
45	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0710194)	p1	j	0	false	A	A	0
45	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0710223)	p1	j	0	false	A	A	0
46	p1-1	(7, 3, 1)	p1	Dict("reprd"=>0.0127431,"veg"=>99.9667)	p1	a	0	false	A	A	2
46	p1-2	(33, 12, 1)	p1	Dict("reprd"=>0.0129661,"veg"=>99.9449)	p1	a	0	false	A	A	2
46	p1-4	(29, 12, 1)	p1	Dict("veg"=>0.071077)	p1	j	0	false	A	A	0
46	p1-5	(10, 3, 1)	p1	Dict("veg"=>0.0710722)	p1	j	0	false	A	A	0
46	p1-6	(30, 12, 1)	p1	Dict("veg"=>0.0710733)	p1	j	0	false	A	A	0
